pos_score,neu_score,neg_score,value
120,3960,0,0
30,240,0,-1
90,1180,0,0
30,120,0,-1
120,2580,40,0
30,0,0,1
30,360,20,0
1830,6040,0,0
0,300,0,0
1830,8160,20,0
60,3100,60,0
0,220,0,0
0,100,0,0
30,80,0,-1
120,11280,50,-1
240,13300,310,1
1800,5320,0,1
30,1560,20,-1
0,160,10,0
240,480,30,1
0,280,20,-1
30,200,0,1
120,2580,0,1
30,180,0,0
0,1860,0,1
120,480,0,0
0,620,0,0
0,160,0,0
0,120,0,1
0,20,0,0
30,80,0,1
0,4180,20,0
420,1000,90,1
0,120,10,-1
0,60,0,1
0,180,10,1
180,220,20,1
0,4180,60,0
0,60,0,0
0,240,0,0
30,60,0,1
240,5280,20,1
60,220,0,1
210,420,20,0
0,340,0,0
90,660,0,-1
60,500,10,0
60,2060,20,-1
3750,13880,20,-1
30,4340,30,-1
30,2520,0,0
0,40,0,0
60,860,0,1
240,13300,310,1
0,120,0,1
60,120,0,1
30,140,0,1
0,740,0,-1
30,40,0,1
0,1140,0,0
30,140,10,1
30,8780,60,1
0,360,0,0
0,180,0,-1
0,200,0,0
0,0,0,-1
0,320,0,0
30,2400,20,-1
60,4940,10,0
30,3840,0,1
30,260,0,-1
0,80,0,0
30,60,0,1
0,120,0,0
210,3020,20,0
0,560,0,0
150,2960,20,0
30,5080,220,1
180,4400,40,0
0,160,0,-1
30,320,0,1
900,4020,20,0
30,2200,0,0
210,6040,90,-1
0,3980,0,-1
0,1040,0,0
0,80,20,-1
30,120,0,1
270,7520,50,1
0,500,0,0
60,100,10,1
0,260,0,1
30,1880,0,0
0,140,0,0
0,800,0,-1
0,0,0,0
0,220,0,-1
60,5740,40,0
0,180,0,0
0,1760,0,1
0,1060,0,-1
180,1380,0,1
0,120,0,0
1800,12360,10,-1
60,340,0,-1
0,380,0,0
0,1200,0,-1
0,220,0,1
180,3300,20,-1
30,2300,0,-1
30,180,0,1
0,480,10,-1
0,220,0,0
30,980,0,-1
0,120,0,-1
0,100,0,0
30,200,0,-1
0,20,0,0
0,20,0,-1
120,420,0,1
1800,10400,10,-1
60,560,40,1
30,320,0,-1
120,3500,10,1
60,140,0,1
0,100,0,1
90,12060,500,-1
60,500,0,0
30,1660,0,-1
0,220,0,1
0,3960,0,-1
0,220,0,0
90,460,10,-1
30,1240,20,1
60,1920,40,0
0,120,10,0
0,120,0,1
0,80,0,0
0,140,0,0
60,140,0,1
0,280,0,-1
1830,6920,0,-1
0,120,0,0
0,40,0,1
60,1160,90,-1
30,420,20,1
0,80,0,0
0,160,0,0
60,680,0,-1
0,1040,0,-1
60,100,10,0
1860,6300,50,0
0,160,0,0
0,340,0,1
120,1000,30,1
0,0,0,0
0,2340,0,-1
390,800,70,1
180,820,10,1
90,1500,0,1
60,260,0,-1
120,3760,10,-1
30,40,0,1
0,20,0,0
0,200,10,-1
30,100,10,1
1830,10840,20,-1
150,4500,20,0
0,140,0,-1
30,360,20,0
0,0,0,0
270,1320,0,1
0,100,0,1
30,2240,30,1
0,0,0,1
30,0,0,1
0,220,0,-1
0,2960,60,-1
0,40,0,-1
210,2820,150,-1
30,180,0,-1
60,240,0,0
0,200,0,-1
0,80,0,0
30,240,0,1
0,0,0,0
60,120,0,1
0,20,10,0
0,0,0,-1
2190,7840,70,-1
0,120,0,0
0,20,0,0
0,2220,70,0
120,160,0,1
90,8520,0,0
0,4140,10,-1
0,820,0,0
30,1160,20,0
30,1100,0,0
90,1860,0,0
60,2520,0,0
0,20,0,0
90,380,0,1
0,20,0,0
3780,20260,70,-1
0,740,0,0
0,20,0,0
1920,8320,140,-1
330,360,40,1
30,60,0,0
0,20,0,0
0,360,0,0
30,480,20,1
270,10140,40,-1
30,200,0,1
0,0,0,0
30,2340,100,0
0,0,0,1
30,600,20,1
30,200,0,1
120,940,0,1
0,0,0,0
30,200,0,1
0,0,0,0
0,3700,0,0
480,1320,70,1
0,240,0,0
30,6560,0,-1
30,4820,20,-1
60,520,0,1
0,20,0,0
30,0,0,1
0,2060,0,0
0,1620,120,0
60,60,0,1
60,400,30,-1
0,340,0,-1
30,280,0,-1
60,0,10,1
30,100,0,1
90,3180,0,-1
0,120,0,0
30,260,10,1
0,20,0,1
0,140,0,1
0,0,0,1
0,4980,0,0
0,220,0,0
60,940,90,0
0,3100,0,-1
30,1340,0,-1
30,100,0,1
330,1180,10,0
30,180,0,1
0,1280,0,0
30,220,0,1
0,2160,0,0
0,4880,0,1
0,2920,0,0
0,0,10,-1
0,140,0,0
30,200,0,1
0,100,10,-1
0,0,0,-1
570,960,20,1
120,220,0,1
60,3420,10,0
0,2500,10,-1
30,480,0,1
0,260,0,-1
0,140,10,0
60,260,20,1
30,80,0,0
0,120,0,0
30,4160,20,-1
30,240,20,0
0,320,0,0
0,4120,0,1
0,560,0,1
0,120,0,1
0,2780,0,-1
150,800,20,1
0,2440,0,0
30,20,0,-1
30,120,0,1
30,0,0,1
30,960,0,0
30,2820,20,-1
210,2260,0,1
0,0,0,0
0,640,0,-1
0,300,0,1
150,3020,60,0
30,220,0,0
0,340,10,1
0,140,0,0
90,6180,0,0
0,220,0,0
540,7800,170,1
30,17260,0,1
0,120,0,0
90,4720,0,-1
0,40,0,0
0,220,0,0
0,240,0,0
30,9520,0,1
0,60,0,1
1110,3260,10,1
0,380,0,0
0,7980,0,0
30,340,0,0
360,11720,140,1
30,1760,130,-1
0,260,0,0
0,120,0,0
30,200,0,1
90,1460,0,-1
30,40,0,1
0,20,0,-1
0,20,0,0
30,300,0,1
0,0,0,0
0,640,0,0
30,280,0,1
0,1380,0,0
0,220,0,0
0,4040,0,-1
30,200,0,1
0,40,0,0
90,13520,150,0
90,520,10,-1
1230,12060,70,-1
0,40,0,0
30,11400,20,-1
330,560,40,-1
0,180,0,0
180,3540,0,-1
90,6160,10,1
30,160,10,1
0,3200,0,-1
30,2140,50,0
0,400,0,1
0,60,0,1
90,2440,0,1
0,900,10,-1
30,20,0,-1
30,620,0,1
4740,15440,80,-1
0,180,10,1
210,2100,20,0
120,11120,30,-1
0,100,0,1
60,1120,0,1
150,1400,10,-1
0,140,0,0
0,240,0,-1
0,20,0,0
180,9720,0,0
60,20,0,1
120,200,20,-1
90,4700,20,-1
0,140,0,-1
1800,5200,0,-1
0,200,0,0
0,240,10,-1
0,1980,0,1
60,1380,30,-1
0,60,0,0
0,20,0,0
90,200,0,1
0,2360,140,0
30,6100,20,1
90,5400,10,1
30,260,20,0
0,220,0,-1
60,4440,60,1
0,1220,0,0
0,100,0,0
270,820,0,0
60,3420,30,-1
0,1320,0,0
60,2680,0,0
30,1860,60,1
60,120,10,0
60,340,20,1
210,1320,10,1
120,2380,40,0
30,40,0,1
30,280,0,0
30,1200,0,0
90,1980,110,1
30,340,0,1
180,900,20,1
120,6300,80,0
60,1900,0,-1
0,0,0,0
120,4560,0,0
120,1260,20,0
0,4720,0,-1
0,120,0,0
0,300,0,0
30,0,0,1
0,1940,0,-1
0,3040,0,0
0,1080,0,1
2310,20360,100,1
0,280,0,-1
630,5440,40,0
60,60,0,1
420,820,70,1
60,4560,40,-1
60,5380,40,1
0,1340,0,1
270,2880,50,-1
0,420,0,0
0,0,0,0
0,660,0,0
120,560,0,1
30,300,0,1
390,6380,70,1
90,720,50,0
840,7600,310,1
0,240,10,0
0,4700,0,0
90,400,0,1
30,2820,20,-1
30,1340,0,1
0,100,0,-1
30,160,0,0
180,4080,20,0
0,60,0,0
30,100,0,1
120,1480,70,0
0,120,0,1
90,440,20,-1
0,420,0,-1
0,3940,0,0
0,1920,0,0
450,2920,0,0
0,4620,0,1
360,10380,170,-1
0,260,0,0
30,1780,40,-1
0,80,0,0
2100,11620,50,-1
60,120,0,1
0,200,10,0
60,2640,130,0
60,780,20,-1
30,4260,10,0
30,0,0,1
0,0,0,-1
0,1020,0,-1
0,1440,0,0
30,1760,0,0
30,240,0,0
90,6140,40,0
570,780,20,0
0,600,0,0
