pos_score,neu_score,neg_score,sub_score,value
30,6280,10,2.8499999999999996,-1
60,120,0,1.75,1
630,4240,90,24.2,1
870,2320,20,29.478571428571428,0
240,7280,60,6.076190476190475,0
2220,10640,110,68.9041666666667,-1
0,260,0,0.0,0
60,100,10,2.4,1
60,1520,0,1.3,0
0,120,0,0.0,0
60,160,0,0.8999999999999999,-1
150,480,20,4.8,1
0,1000,0,0.0,0
30,120,10,0.55,0
0,740,0,0.0,-1
120,1620,0,1.7333333333333334,1
420,12240,110,22.41666666666667,1
150,1400,10,9.15,-1
0,840,0,0.0,-1
30,740,20,3.8,0
0,60,0,0.0,1
1830,7920,10,48.75000000000002,-1
180,160,0,3.4499999999999997,-1
