pos_score,neu_score,neg_score,sub_score,value
0,1120,140,10.5,-1
2010,17620,120,70.07857142857156,0
0,160,0,0.0,0
30,0,0,0.65,1
30,220,10,1.3666666666666667,0
30,1320,0,1.3,1
1830,12320,10,48.93750000000002,0
30,220,10,1.1130952380952381,-1
0,0,0,0,0
120,4600,20,5.55,-1
60,3600,0,1.0,0
60,860,0,1.2,1
0,140,10,0.3,-1
30,200,10,1.0,1
30,260,30,4.7,-1
0,200,10,0.8,0
450,6620,170,28.699999999999996,0
150,4440,0,3.1476190476190475,0
0,680,0,6.0,1
30,20,10,1.1,0
30,380,0,1.0,0
0,200,20,1.3,1
90,280,0,2.0999999999999996,0
210,1660,30,12.135714285714293,0
30,220,0,1.55,1
0,160,0,0.0,0
0,2840,0,1.3795454545454544,0
30,240,20,1.55,-1
0,0,0,0,0
0,180,0,0.0,0
0,40,0,0.0,0
30,220,0,0.2,1
30,0,10,0.9,-1
0,20,0,0.0,-1
0,160,0,0.3,1
30,740,30,2.3714285714285714,1
840,6000,0,25.67857142857143,-1
210,3080,30,7.7666666666666675,1
330,6620,90,15.393571428571429,0
30,20,0,0.6666666666666666,1
30,200,0,0.7,-1
30,40,0,0.0,1
0,160,0,0.0,0
0,360,0,0.0,0
240,12460,130,43.29523809523807,0
1920,11500,0,49.80000000000001,1
60,3020,10,2.4,-1
0,4320,0,0.0,1
30,3660,10,2.2416666666666667,0
0,80,0,0.0,-1
120,300,40,8.3,-1
30,240,0,0.5714285714285714,-1
0,160,0,0.0,1
180,7000,20,12.975000000000001,1
0,180,10,0.7875,-1
0,140,0,0.0,0
0,40,0,0.0,1
30,540,20,3.8,1
30,2940,20,3.8,-1
60,8600,0,1.866666666666667,-1
270,1820,10,4.628571428571429,1
60,140,0,1.2083333333333333,0
330,1580,40,10.180772005772006,-1
150,1100,30,7.6,0
0,160,0,0.35,-1
2070,24300,60,85.31428571428584,-1
30,880,0,0.4,0
30,4700,20,3.8,1
210,1220,0,10.975000000000001,-1
210,380,0,4.021428571428571,1
0,100,0,0.0,0
0,480,0,0.0,0
180,740,0,3.1,0
0,0,0,0,-1
0,180,0,0.4,-1
90,5400,20,2.4499999999999997,1
0,0,0,0,-1
630,920,20,17.349206349206355,1
0,0,0,0,-1
150,9300,10,4.7,1
0,4940,10,1.265277777777778,0
30,200,0,0.3,1
0,2500,0,0.8666666666666667,1
0,120,0,0.0,0
0,120,0,0.0,-1
0,320,0,0.0,-1
0,140,0,0.0,-1
0,60,0,0.0,0
240,700,0,5.314285714285714,0
60,460,0,0.9,0
30,1280,0,1.2333333333333334,1
210,4700,20,7.504761904761906,1
30,280,10,0.8999999999999999,-1
90,940,20,5.0,0
30,20,0,0.6,1
0,180,10,0.8,0
0,280,0,0.0,-1
30,180,10,1.8545454545454545,1
0,140,0,1.0,0
0,3200,0,0.4,1
30,180,10,1.5,-1
120,1060,0,1.9642857142857142,0
1830,7940,30,49.221428571428596,1
120,10420,20,6.666666666666666,0
0,220,0,0.4,0
30,60,0,0.0,1
0,80,0,0.0,0
0,0,0,0,1
30,240,20,3.8,-1
90,1080,40,7.800000000000001,1
90,380,0,2.5,0
120,1440,0,1.7333333333333334,1
30,520,20,3.8,0
30,180,0,0.75,1
0,540,10,0.3,-1
0,180,0,0.1,0
60,280,0,0.0,1
30,4000,30,4.633333333333333,1
30,9400,20,1.9333333333333331,0
30,160,0,1.2333333333333334,0
1830,6780,20,51.05000000000001,0
60,1320,10,2.45,-1
120,1320,0,1.7333333333333334,1
0,200,0,0.0,0
0,180,0,0.0,1
360,2800,50,12.238095238095239,0
0,0,0,0,-1
0,200,0,0.0,0
0,220,0,0.0,1
30,1800,30,1.8714285714285714,0
60,100,10,2.4,-1
0,4060,0,0.0,0
0,1600,30,4.2555555555555555,0
1950,6620,50,53.521428571428594,1
30,360,30,5.0,-1
0,160,20,1.6,-1
90,160,0,1.1,1
0,980,0,0.0,1
0,0,0,0,0
0,60,0,0.0,0
60,120,0,1.3,-1
30,340,20,3.8,0
0,240,0,0.0,0
0,80,0,0.0,0
60,1700,20,4.0,-1
0,40,0,0.0,1
210,1960,70,9.567232767232767,-1
0,360,0,0.21428571428571427,1
30,900,0,0.2,-1
90,60,0,2.2,1
30,7200,20,5.3,0
0,2060,0,0.0,1
0,0,0,0,-1
0,1360,20,0.8,0
60,1120,180,16.93333333333333,-1
0,0,0,0,1
60,6280,20,5.25,1
0,0,0,0,-1
0,7760,60,7.199999999999999,1
0,1420,0,0.0,0
0,180,0,0.0,1
0,1440,0,0.0,-1
0,0,0,0,1
240,1780,40,17.815714285714286,0
0,120,0,0.5,0
0,7820,20,10.30714285714286,1
0,140,0,0.0,0
0,0,0,0,1
0,120,0,0.0,0
0,0,0,0,0
30,240,0,0.5714285714285714,1
60,160,0,1.4166666666666665,1
0,0,0,0,1
0,1800,20,0.8,0
0,0,0,0,0
30,100,0,0.9,0
0,340,0,0.0,-1
30,240,20,3.8,1
0,460,30,2.5166666666666666,1
0,2720,0,0.0,0
90,260,10,4.05,0
420,3920,90,20.299999999999994,0
60,1520,40,7.6000000000000005,1
0,1240,0,0.0,0
0,80,0,0.5,1
0,6480,0,6.857142857142859,1
60,100,0,1.75,1
30,1620,0,0.6,1
0,2340,0,7.383333333333335,0
0,340,0,0.0,0
0,280,0,0.5,0
0,0,0,0,0
60,180,10,1.8,-1
90,2380,20,1.6666666666666665,1
0,4580,0,0.05,1
60,40,0,1.3000000000000003,0
0,540,0,0.0,0
60,1520,20,11.807142857142857,1
0,480,0,0.0,-1
0,240,0,0.7,0
90,1620,0,1.2714285714285714,0
60,1380,100,12.799999999999999,1
60,240,0,0.75,1
0,1100,0,0.0,0
0,40,0,0.0,0
60,200,0,1.6500000000000001,1
0,200,0,0.0,0
180,540,0,3.214285714285714,0
0,0,0,0,0
30,3320,0,1.9,0
30,1240,20,3.8,0
0,180,0,0.525,0
0,1060,0,0.8666666666666667,-1
0,1840,0,0.0,-1
30,40,20,3.8,-1
570,1760,30,15.153968253968255,-1
30,1460,40,6.714285714285714,0
0,260,0,0.0,1
0,200,0,0.0,1
0,10580,20,8.05714285714286,-1
0,0,0,0,1
60,220,10,2.4,0
0,0,0,0,0
150,4380,20,20.549999999999994,-1
30,260,0,0.6,1
60,1340,20,3.8,-1
390,2420,70,16.166666666666664,1
0,160,0,0.0,0
390,5380,0,44.714285714285666,0
30,100,0,0.0,0
0,20,0,0.0,0
120,400,10,2.3045454545454547,1
30,120,0,0.5,1
30,100,0,0.5,0
0,120,0,1.0,0
60,80,10,0.9666666666666666,1
30,2240,20,3.8,-1
0,3920,0,0.4,0
0,7700,0,0.0,0
180,3340,60,8.2,1
0,160,0,0.0,1
0,0,0,0,0
90,3120,20,11.650000000000004,0
0,2880,0,0.0,1
30,5740,0,0.0,-1
30,800,30,1.8714285714285714,0
0,0,0,0,0
0,80,0,0.0,-1
30,140,0,0.9333333333333333,-1
120,5580,40,10.462222222222222,1
0,20,0,0.0,0
30,1920,0,1.3083333333333333,1
60,14640,10,16.1142857142857,0
0,20,0,0.0,0
0,620,0,0.0,0
390,1720,70,16.96666666666666,1
120,2600,40,2.5880952380952382,1
1980,11680,50,86.72619047619064,0
0,500,0,0.0,0
60,1660,20,4.5,-1
0,160,0,1.0,0
180,3360,20,6.333333333333334,0
120,1680,20,5.3,1
0,1840,0,0.3833333333333333,1
60,1960,10,2.1416666666666666,-1
1830,5140,30,49.12142857142859,0
240,10120,40,17.715476190476192,1
180,660,20,5.1660714285714295,-1
0,240,0,0.3333333333333333,-1
0,6220,0,6.857142857142859,0
0,20,0,0.0,1
0,3500,0,1.6,-1
0,280,0,0.0,0
30,2020,10,1.1,-1
0,5500,0,0.0,0
0,1580,0,0.4,1
1800,6100,0,47.250000000000014,1
0,80,0,0.0,-1
30,4820,0,0.06666666666666667,0
90,1540,90,12.9,0
0,160,0,0.0,0
30,100,0,0.5714285714285714,0
0,260,0,0.0,1
30,840,10,0.6888888888888889,-1
120,2700,0,1.7,-1
120,6880,100,16.450000000000003,0
0,5220,10,0.0,0
0,1120,0,0.0,0
30,2240,20,3.8,-1
30,40,0,1.3571428571428572,1
90,3340,0,1.5,1
30,240,0,0.5714285714285714,-1
0,200,0,0.15,1
0,20,0,0.0,1
150,6060,0,3.575,1
30,40,0,0.5714285714285714,1
30,4260,20,3.8,0
0,540,0,0.0,0
60,220,10,2.2,-1
0,40,0,0.0,0
0,4260,0,7.050000000000001,0
30,1080,0,1.4,0
90,940,0,1.5,0
30,100,0,0.6357142857142857,0
30,1300,30,4.2,-1
30,180,0,0.9166666666666666,-1
0,200,0,0.0,1
2400,8780,0,60.77063492063492,0
0,140,0,0.0,0
1950,5400,0,50.116666666666674,1
0,100,0,0.0,0
30,440,0,0.7,0
0,120,0,0.0,1
0,1700,0,0.0,0
0,200,0,0.0,0
450,400,0,10.071428571428573,1
0,1020,0,7.050000000000001,0
0,40,0,0.0,-1
0,1120,0,0.2888888888888889,0
0,520,0,0.06666666666666667,-1
0,3500,0,0.0,0
0,680,0,0.0,-1
0,200,0,0.0,0
0,120,0,0.1,-1
0,1500,0,0.5833333333333333,0
30,1340,0,1.4,0
0,3900,0,0.0,1
90,1860,0,1.7,-1
120,520,0,2.3333333333333335,0
0,260,0,0.0,1
0,40,0,0.0,0
0,140,0,0.0,0
30,0,0,0.75,1
30,6180,0,1.3333333333333333,0
0,400,0,0.0,1
0,1280,0,0.0,0
0,780,0,7.050000000000001,0
30,60,0,0.55,1
0,60,0,0.0,0
0,1820,10,7.450000000000001,-1
0,120,0,0.0,0
120,420,0,2.5,0
120,6280,50,6.704761904761905,0
0,1460,0,7.050000000000001,-1
0,2860,0,1.2,0
2070,10920,20,62.33333333333334,1
120,140,0,2.55,1
30,0,0,0.6,1
0,280,0,0.0,0
0,60,0,0.0,0
90,5180,0,1.7642857142857142,-1
30,300,20,3.8,1
60,600,0,1.1333333333333333,0
0,780,0,0.0,0
270,6320,90,18.96666666666667,1
0,200,0,0.45454545454545453,-1
0,0,0,0,0
0,20,0,0.0,1
0,40,0,0.0,1
90,4120,20,4.633333333333333,1
60,120,0,0.9666666666666667,0
30,1040,20,6.88,-1
90,620,10,3.0999999999999996,-1
1920,8520,20,53.55000000000002,1
0,180,0,0.0,-1
0,100,0,0.0,0
0,80,0,0.0,0
60,1360,0,1.3208333333333333,0
150,9920,0,9.083333333333336,1
180,4720,40,9.1,1
0,100,10,0.9,0
30,160,0,0.8,1
30,80,0,0.55,0
60,2460,20,4.5,0
0,40,0,1.0,0
0,5320,0,0.0,0
30,180,0,0.5,1
0,160,0,0.0,1
540,740,30,16.271428571428572,-1
0,0,10,0.3,-1
1800,9980,0,47.583333333333364,1
30,460,0,0.6000000000000001,1
30,340,20,3.8,-1
60,300,0,0.5714285714285714,1
930,1000,70,29.115873015873007,-1
60,6920,50,5.671428571428571,0
150,1080,10,9.208333333333334,-1
180,1860,0,10.264285714285718,-1
0,40,0,0.4,0
0,1380,0,0.0,0
0,200,0,0.0,1
30,1880,20,1.3714285714285714,0
30,4180,0,17.816666666666666,0
0,520,0,0.0,1
120,1020,0,2.388888888888889,-1
0,240,0,0.0,0
30,200,20,1.6888888888888889,0
30,1880,0,1.0,0
270,2300,0,16.821428571428577,1
30,220,10,2.3,-1
0,0,0,0,-1
0,860,0,0.0,-1
0,60,0,0.4,1
0,60,0,0.2,-1
30,180,0,0.8,1
0,180,0,0.0,0
180,10580,20,14.842460317460315,-1
120,800,0,1.7333333333333334,0
30,20,0,0.0,1
0,3060,0,0.8666666666666667,0
60,4280,10,3.9,0
90,860,30,2.7714285714285714,1
630,900,30,19.14920634920635,1
60,220,0,1.9045454545454548,1
150,220,20,5.3,0
0,100,0,0.0,0
0,280,0,0.8666666666666667,0
0,660,0,0.0,0
30,920,20,3.8,0
0,3500,0,0.0,-1
90,2620,20,4.7,1
0,160,0,0.0,0
180,4160,20,5.8,1
240,6080,10,3.900000000000001,0
0,380,0,0.0,1
30,340,10,1.4,0
210,580,20,7.014285714285714,0
60,2860,20,4.866666666666667,1
180,3720,20,12.5,0
0,60,0,0.0,0
90,1280,10,2.825,0
0,1780,0,0.0,1
30,560,20,3.8,-1
60,240,0,1.7999999999999998,1
30,1420,0,1.3,1
90,300,0,2.1,1
0,1100,0,0.0,0
30,260,0,0.6666666666666666,0
0,100,0,0.1,0
0,1640,0,14.100000000000005,0
0,11100,10,7.590476190476193,1
540,1100,0,14.651428571428571,0
0,3800,0,0.3333333333333333,-1
0,4300,0,0.0,0
30,4860,20,3.8,0
30,180,0,0.5,0
0,140,0,0.0,-1
180,1280,0,9.214285714285714,1
0,240,0,1.7999999999999998,-1
0,80,10,0.6,-1
0,1640,0,0.0,1
30,1740,10,1.6,0
30,180,0,0.6000000000000001,1
30,5320,0,1.0,0
0,2900,0,0.0,1
90,2460,10,2.6285714285714286,0
210,3480,10,5.133333333333334,0
0,40,0,0.0,0
930,3420,190,44.911904761904765,-1
90,4860,10,2.6285714285714286,1
30,5560,0,0.4,-1
0,220,10,0.4,1
1860,7060,140,62.15833333333338,-1
0,220,0,0.0,1
30,220,0,0.6,0
30,300,20,3.8,1
0,3840,0,0.0,0
150,1480,20,5.533333333333333,1
90,2000,90,8.37142857142857,1
30,60,0,0.6,0
30,40,0,0.3,1
0,100,0,0.0,0
0,4400,0,0.0,0
60,160,0,1.4,1
30,300,10,1.4,-1
30,200,0,0.26666666666666666,1
30,1520,20,3.8,1
30,100,0,1.0,1
0,200,10,0.0,-1
60,220,0,1.1666666666666667,1
0,280,0,0.06666666666666667,0
0,240,0,0.25,0
30,180,0,0.8888888888888888,0
0,1780,0,0.0,1
60,5160,90,11.585714285714287,1
0,100,20,1.5,-1
0,6740,0,7.60714285714286,1
30,120,0,0.5,1
30,240,0,0.6000000000000001,1
0,180,0,0.0,-1
0,200,10,0.4,0
120,3960,0,1.7333333333333334,0
30,240,0,0.2,-1
90,1180,0,1.5,0
30,120,0,0.6000000000000001,-1
120,2580,40,8.236428571428572,0
30,0,0,0.65,1
30,360,20,3.8,0
1830,6040,0,47.95000000000002,0
0,300,0,0.0,0
1830,8160,20,51.05000000000001,0
60,3100,60,8.6,0
0,220,0,0.06666666666666667,0
0,100,0,0.0,0
30,80,0,1.0,-1
120,11280,50,25.603571428571414,-1
240,13300,310,44.58571428571429,1
1800,5320,0,48.85000000000002,1
30,1560,20,3.8,-1
0,160,10,0.8,0
240,480,30,11.13525641025641,1
0,280,20,1.6875,-1
30,200,0,0.0,1
120,2580,0,2.571428571428571,1
30,180,0,0.6,0
0,1860,0,0.0,1
120,480,0,1.9,0
0,620,0,0.0,0
0,160,0,0.0,0
0,120,0,0.0,1
0,20,0,0.0,0
30,80,0,0.0,1
0,4180,20,5.898611111111111,0
420,1000,90,19.96666666666666,1
0,120,10,0.9,-1
0,60,0,0.0,1
0,180,10,0.4,1
180,220,20,7.200000000000001,1
0,4180,60,5.199999999999999,0
0,60,0,0.0,0
0,240,0,0.0,0
30,60,0,0.0,1
240,5280,20,14.633333333333333,1
60,220,0,0.7,1
210,420,20,7.014285714285713,0
0,340,0,0.0,0
90,660,0,1.5,-1
60,500,10,2.4,0
60,2060,20,4.620833333333334,-1
3750,13880,20,100.03333333333345,-1
30,4340,30,4.1,-1
30,2520,0,5.95,0
0,40,0,0.0,0
60,860,0,0.5,1
240,13300,310,44.58571428571429,1
0,120,0,0.0,1
60,120,0,1.8,1
30,140,0,1.8,1
0,740,0,0.0,-1
30,40,0,1.0,1
0,1140,0,0.0,0
30,140,10,1.3,1
30,8780,60,12.057142857142859,1
0,360,0,0.0,0
0,180,0,0.0,-1
0,200,0,0.0,0
0,0,0,0,-1
0,320,0,0.0,0
30,2400,20,8.250000000000002,-1
60,4940,10,2.4,0
30,3840,0,0.65,1
30,260,0,0.0,-1
0,80,0,0.0,0
30,60,0,0.9249999999999999,1
0,120,0,0.0,0
210,3020,20,7.014285714285714,0
0,560,0,0.1,0
150,2960,20,5.897619047619047,0
30,5080,220,19.9051282051282,1
180,4400,40,4.654761904761905,0
0,160,0,0.0,-1
30,320,0,0.5,1
900,4020,20,34.42857142857142,0
30,2200,0,1.0833333333333333,0
210,6040,90,13.866666666666665,-1
0,3980,0,0.0,-1
0,1040,0,0.0,0
0,80,20,0.6,-1
30,120,0,0.5,1
270,7520,50,20.017857142857142,1
0,500,0,0.0,0
60,100,10,2.4,1
0,260,0,0.0,1
30,1880,0,0.4,0
0,140,0,0.13333333333333333,0
0,800,0,6.0,-1
0,0,0,0,0
0,220,0,0.45454545454545453,-1
60,5740,40,8.979545454545455,0
0,180,0,0.0,0
0,1760,0,0.4,1
0,1060,0,0.2888888888888889,-1
180,1380,0,2.8047619047619046,1
0,120,0,0.0,0
1800,12360,10,49.15000000000002,-1
60,340,0,0.9333333333333333,-1
0,380,0,0.0,0
0,1200,0,0.0,-1
0,220,0,0.0,1
180,3300,20,13.154761904761907,-1
30,2300,0,7.621428571428573,-1
30,180,0,0.0,1
0,480,10,0.4,-1
0,220,0,0.0,0
30,980,0,1.3,-1
0,120,0,0.0,-1
0,100,0,0.0,0
30,200,0,1.65,-1
0,20,0,0.0,0
0,20,0,0.0,-1
120,420,0,3.0,1
1800,10400,10,48.03333333333335,-1
60,560,40,1.9214285714285715,1
30,320,0,0.9545454545454546,-1
120,3500,10,6.433333333333334,1
60,140,0,0.6,1
0,100,0,0.0,1
90,12060,500,56.86645021645024,-1
60,500,0,2.1,0
30,1660,0,0.95,-1
0,220,0,0.0,1
0,3960,0,0.0,-1
0,220,0,0.0,0
90,460,10,0.9,-1
30,1240,20,3.8,1
60,1920,40,7.933333333333334,0
0,120,10,1.0,0
0,120,0,0.0,1
0,80,0,0.0,0
0,140,0,0.1,0
60,140,0,1.4,1
0,280,0,0.0,-1
1830,6920,0,54.78888888888889,-1
0,120,0,0.0,0
0,40,0,0.0,1
60,1160,90,11.585714285714287,-1
30,420,20,2.306168831168831,1
0,80,0,0.0,0
0,160,0,0.06666666666666667,0
60,680,0,2.1,-1
0,1040,0,0.0,-1
60,100,10,2.4,0
1860,6300,50,59.97142857142857,0
0,160,0,0.0,0
0,340,0,0.0,1
120,1000,30,6.4,1
0,0,0,0,0
0,2340,0,0.0,-1
390,800,70,16.166666666666664,1
180,820,10,4.3999999999999995,1
90,1500,0,1.5,1
