,pos_score,neu_score,neg_score,sub_score
292,0.0,73.2,0.0,0.0686
293,0.0,1.4,0.0,0.0
294,0.0,2.8,0.0,0.0
295,1.2,26.8,0.2,0.0557
296,0.0,2.4,0.0,0.0
297,0.9,3.8,0.3,0.062
298,0.0,0.0,0.0,0.0
299,0.0,0.0,0.0,0.0
300,0.0,10.4,0.0,0.0
301,0.6,18.2,0.6,0.0374
302,0.3,4.0,0.3,0.0187
303,0.0,1.2,0.0,0.0
304,0.0,1.4,0.0,0.0
305,0.0,10.6,0.0,0.0
306,0.3,62.8,0.1,0.0285
307,0.6,1.2,0.0,0.0175
308,6.3,42.4,0.9,0.242
309,8.7,23.2,0.2,0.2948
310,2.4,72.8,0.6,0.0608
311,22.2,106.4,1.1,0.689
312,0.0,2.6,0.0,0.0
313,0.6,1.0,0.1,0.024
314,0.6,15.2,0.0,0.013
315,0.0,1.2,0.0,0.0
316,0.6,1.6,0.0,0.009
317,1.5,4.8,0.2,0.048
318,0.0,10.0,0.0,0.0
319,0.3,1.2,0.1,0.0055
320,0.0,7.4,0.0,0.0
321,1.2,16.2,0.0,0.0173
322,4.2,122.4,1.1,0.2242
323,1.5,14.0,0.1,0.0915
324,0.0,8.4,0.0,0.0
325,0.3,7.4,0.2,0.038
326,0.0,0.6,0.0,0.0
327,18.3,79.2,0.1,0.4875
328,1.8,1.6,0.0,0.0345
329,0.0,11.2,1.4,0.105
330,20.1,176.2,1.2,0.7008
331,0.0,1.6,0.0,0.0
332,0.3,0.0,0.0,0.0065
333,0.3,2.2,0.1,0.0137
334,0.3,13.2,0.0,0.013
335,18.3,123.2,0.1,0.4894
336,0.3,2.2,0.1,0.0111
337,0.0,0.0,0.0,0.0
338,1.2,46.0,0.2,0.0555
339,0.6,36.0,0.0,0.01
340,0.6,8.6,0.0,0.012
341,0.0,1.4,0.1,0.003
342,0.3,2.0,0.1,0.01
343,0.3,2.6,0.3,0.047
344,0.0,2.0,0.1,0.008
345,4.5,66.2,1.7,0.287
346,1.5,44.4,0.0,0.0315
347,0.0,6.8,0.0,0.06
348,0.3,0.2,0.1,0.011
349,0.3,3.8,0.0,0.01
350,0.0,2.0,0.2,0.013
351,0.9,2.8,0.0,0.021
352,2.1,16.6,0.3,0.1214
353,0.3,2.2,0.0,0.0155
354,0.0,1.6,0.0,0.0
355,0.0,28.4,0.0,0.0138
356,0.3,2.4,0.2,0.0155
357,0.0,0.0,0.0,0.0
358,0.0,1.8,0.0,0.0
359,0.0,0.4,0.0,0.0
360,0.3,2.2,0.0,0.002
361,0.3,0.0,0.1,0.009
362,0.0,0.2,0.0,0.0
363,0.0,1.6,0.0,0.003
364,0.3,7.4,0.3,0.0237
365,8.4,60.0,0.0,0.2568
366,2.1,30.8,0.3,0.0777
367,3.3,66.2,0.9,0.1539
368,0.3,0.2,0.0,0.0067
369,0.3,2.0,0.0,0.007
370,0.3,0.4,0.0,0.0
371,0.0,1.6,0.0,0.0
372,0.0,3.6,0.0,0.0
373,2.4,124.6,1.3,0.433
374,19.2,115.0,0.0,0.498
375,0.6,30.2,0.1,0.024
376,0.0,43.2,0.0,0.0
377,0.3,36.6,0.1,0.0224
378,0.0,0.8,0.0,0.0
379,1.2,3.0,0.4,0.083
380,0.3,2.4,0.0,0.0057
381,0.0,1.6,0.0,0.0
382,1.8,70.0,0.2,0.1298
383,0.0,1.8,0.1,0.0079
384,0.0,1.4,0.0,0.0
385,0.0,0.4,0.0,0.0
386,0.3,5.4,0.2,0.038
387,0.3,29.4,0.2,0.038
388,0.6,86.0,0.0,0.0187
389,2.7,18.2,0.1,0.0463
390,0.6,1.4,0.0,0.0121
391,3.3,15.8,0.4,0.1018
392,1.5,11.0,0.3,0.076
393,0.0,1.6,0.0,0.0035
394,20.7,243.0,0.6,0.8531
395,0.3,8.8,0.0,0.004
396,0.3,47.0,0.2,0.038
397,2.1,12.2,0.0,0.1098
398,2.1,3.8,0.0,0.0402
399,0.0,1.0,0.0,0.0
400,0.0,4.8,0.0,0.0
401,1.8,7.4,0.0,0.031
402,0.0,0.0,0.0,0.0
403,0.0,1.8,0.0,0.004
404,0.9,54.0,0.2,0.0245
405,0.0,0.0,0.0,0.0
406,6.3,9.2,0.2,0.1735
407,0.0,0.0,0.0,0.0
408,1.5,93.0,0.1,0.047
409,0.0,49.4,0.1,0.0127
410,0.3,2.0,0.0,0.003
411,0.0,25.0,0.0,0.0087
412,0.0,1.2,0.0,0.0
413,0.0,1.2,0.0,0.0
414,0.0,3.2,0.0,0.0
415,0.0,1.4,0.0,0.0
416,0.0,0.6,0.0,0.0
417,2.4,7.0,0.0,0.0531
418,0.6,4.6,0.0,0.009
419,0.3,12.8,0.0,0.0123
420,2.1,47.0,0.2,0.075
421,0.3,2.8,0.1,0.009
422,0.9,9.4,0.2,0.05
423,0.3,0.2,0.0,0.006
424,0.0,1.8,0.1,0.008
425,0.0,2.8,0.0,0.0
426,0.3,1.8,0.1,0.0185
427,0.0,1.4,0.0,0.01
428,0.0,32.0,0.0,0.004
429,0.3,1.8,0.1,0.015
430,1.2,10.6,0.0,0.0196
431,18.3,79.4,0.3,0.4922
432,1.2,104.2,0.2,0.0667
433,0.0,2.2,0.0,0.004
434,0.3,0.6,0.0,0.0
435,0.0,0.8,0.0,0.0
436,0.0,0.0,0.0,0.0
437,0.3,2.4,0.2,0.038
438,0.9,10.8,0.4,0.078
439,0.9,3.8,0.0,0.025
440,1.2,14.4,0.0,0.0173
441,0.3,5.2,0.2,0.038
442,0.3,1.8,0.0,0.0075
443,0.0,5.4,0.1,0.003
444,0.0,1.8,0.0,0.001
445,0.6,2.8,0.0,0.0
446,0.3,40.0,0.3,0.0463
447,0.3,94.0,0.2,0.0193
448,0.3,1.6,0.0,0.0123
449,18.3,67.8,0.2,0.5105
450,0.6,13.2,0.1,0.0245
451,1.2,13.2,0.0,0.0173
452,0.0,2.0,0.0,0.0
453,0.0,1.8,0.0,0.0
454,3.6,28.0,0.5,0.1224
455,0.0,0.0,0.0,0.0
456,0.0,2.0,0.0,0.0
457,0.0,2.2,0.0,0.0
458,0.3,18.0,0.3,0.0187
459,0.6,1.0,0.1,0.024
460,0.0,40.6,0.0,0.0
461,0.0,16.0,0.3,0.0426
462,19.5,66.2,0.5,0.5352
463,0.3,3.6,0.3,0.05
464,0.0,1.6,0.2,0.016
465,0.9,1.6,0.0,0.011
466,0.0,9.8,0.0,0.0
467,0.0,0.0,0.0,0.0
468,0.0,0.6,0.0,0.0
469,0.6,1.2,0.0,0.013
470,0.3,3.4,0.2,0.038
471,0.0,2.4,0.0,0.0
472,0.0,0.8,0.0,0.0
473,0.6,17.0,0.2,0.04
474,0.0,0.4,0.0,0.0
475,2.1,19.6,0.7,0.0957
476,0.0,3.6,0.0,0.0021
477,0.3,9.0,0.0,0.002
478,0.9,0.6,0.0,0.022
479,0.3,72.0,0.2,0.053
480,0.0,20.6,0.0,0.0
481,0.0,0.0,0.0,0.0
482,0.0,13.6,0.2,0.008
483,0.6,11.2,1.8,0.1693
484,0.0,0.0,0.0,0.0
485,0.6,62.8,0.2,0.0525
486,0.0,0.0,0.0,0.0
487,0.0,77.6,0.6,0.072
488,0.0,14.2,0.0,0.0
489,0.0,1.8,0.0,0.0
490,0.0,14.4,0.0,0.0
491,0.0,0.0,0.0,0.0
492,2.4,17.8,0.4,0.1782
493,0.0,1.2,0.0,0.005
494,0.0,78.2,0.2,0.1031
495,0.0,1.4,0.0,0.0
496,0.0,0.0,0.0,0.0
497,0.0,1.2,0.0,0.0
498,0.0,0.0,0.0,0.0
499,0.3,2.4,0.0,0.0057
500,0.6,1.6,0.0,0.0142
501,0.0,0.0,0.0,0.0
502,0.0,18.0,0.2,0.008
503,0.0,0.0,0.0,0.0
504,0.3,1.0,0.0,0.009
505,0.0,3.4,0.0,0.0
506,0.3,2.4,0.2,0.038
507,0.0,4.6,0.3,0.0252
508,0.0,27.2,0.0,0.0
509,0.9,2.6,0.1,0.0405
510,4.2,39.2,0.9,0.203
511,0.6,15.2,0.4,0.076
512,0.0,12.4,0.0,0.0
513,0.0,0.8,0.0,0.005
514,0.0,64.8,0.0,0.0686
515,0.6,1.0,0.0,0.0175
516,0.3,16.2,0.0,0.006
517,0.0,23.4,0.0,0.0738
518,0.0,3.4,0.0,0.0
519,0.0,2.8,0.0,0.005
520,0.0,0.0,0.0,0.0
521,0.6,1.8,0.1,0.018
522,0.9,23.8,0.2,0.0167
523,0.0,45.8,0.0,0.0005
524,0.6,0.4,0.0,0.013
525,0.0,5.4,0.0,0.0
526,0.6,15.2,0.2,0.1181
527,0.0,4.8,0.0,0.0
528,0.0,2.4,0.0,0.007
529,0.9,16.2,0.0,0.0127
530,0.6,13.8,1.0,0.128
531,0.6,2.4,0.0,0.0075
532,0.0,11.0,0.0,0.0
533,0.0,0.4,0.0,0.0
534,0.6,2.0,0.0,0.0165
535,0.0,2.0,0.0,0.0
536,1.8,5.4,0.0,0.0321
537,0.0,0.0,0.0,0.0
538,0.3,33.2,0.0,0.019
539,0.3,12.4,0.2,0.038
540,0.0,1.8,0.0,0.0052
541,0.0,10.6,0.0,0.0087
542,0.0,18.4,0.0,0.0
543,0.3,0.4,0.2,0.038
544,5.7,17.6,0.3,0.1515
545,0.3,14.6,0.4,0.0671
546,0.0,2.6,0.0,0.0
547,0.0,2.0,0.0,0.0
548,0.0,105.8,0.2,0.0806
549,0.0,0.0,0.0,0.0
550,0.6,2.2,0.1,0.024
551,0.0,0.0,0.0,0.0
552,1.5,43.8,0.2,0.2055
553,0.3,2.6,0.0,0.006
554,0.6,13.4,0.2,0.038
555,3.9,24.2,0.7,0.1617
556,0.0,1.6,0.0,0.0
557,3.9,53.8,0.0,0.4471
558,0.3,1.0,0.0,0.0
559,0.0,0.2,0.0,0.0
560,1.2,4.0,0.1,0.023
561,0.3,1.2,0.0,0.005
562,0.3,1.0,0.0,0.005
563,0.0,1.2,0.0,0.01
564,0.6,0.8,0.1,0.0097
565,0.3,22.4,0.2,0.038
566,0.0,39.2,0.0,0.004
567,0.0,77.0,0.0,0.0
568,1.8,33.4,0.6,0.082
569,0.0,1.6,0.0,0.0
570,0.0,0.0,0.0,0.0
571,0.9,31.2,0.2,0.1165
572,0.0,28.8,0.0,0.0
573,0.3,57.4,0.0,0.0
574,0.3,8.0,0.3,0.0187
575,0.0,0.0,0.0,0.0
576,0.0,0.8,0.0,0.0
577,0.3,1.4,0.0,0.0093
578,1.2,55.8,0.4,0.1046
579,0.0,0.2,0.0,0.0
580,0.3,19.2,0.0,0.0131
581,0.6,146.4,0.1,0.1611
582,0.0,0.2,0.0,0.0
583,0.0,6.2,0.0,0.0
584,3.9,17.2,0.7,0.1697
585,1.2,26.0,0.4,0.0259
586,19.8,116.8,0.5,0.8673
587,0.0,5.0,0.0,0.0
588,0.6,16.6,0.2,0.045
589,0.0,1.6,0.0,0.01
590,1.8,33.6,0.2,0.0633
591,1.2,16.8,0.2,0.053
592,0.0,18.4,0.0,0.0038
593,0.6,19.6,0.1,0.0214
594,18.3,51.4,0.3,0.4912
595,2.4,101.2,0.4,0.1772
596,1.8,6.6,0.2,0.0517
597,0.0,2.4,0.0,0.0033
598,0.0,62.2,0.0,0.0686
599,0.0,0.2,0.0,0.0
600,0.0,35.0,0.0,0.016
601,0.0,2.8,0.0,0.0
602,0.3,20.2,0.1,0.011
603,0.0,55.0,0.0,0.0
604,0.0,15.8,0.0,0.004
605,18.0,61.0,0.0,0.4725
606,0.0,0.8,0.0,0.0
607,0.3,48.2,0.0,0.0007
608,0.9,15.4,0.9,0.129
609,0.0,1.6,0.0,0.0
610,0.3,1.0,0.0,0.0057
611,0.0,2.6,0.0,0.0
612,0.3,8.4,0.1,0.0069
613,1.2,27.0,0.0,0.017
614,1.2,68.8,1.0,0.1645
615,0.0,52.2,0.1,0.0
616,0.0,11.2,0.0,0.0
617,0.3,22.4,0.2,0.038
618,0.3,0.4,0.0,0.0136
619,0.9,33.4,0.0,0.015
620,0.3,2.4,0.0,0.0057
621,0.0,2.0,0.0,0.0015
622,0.0,0.2,0.0,0.0
623,1.5,60.6,0.0,0.0358
624,0.3,0.4,0.0,0.0057
625,0.3,42.6,0.2,0.038
626,0.0,5.4,0.0,0.0
