,pos_score,neu_score,neg_score,pos_sub_score,neu_sub_score,neg_sub_score
36,0.0,0.8,0.0,0.0,0.0,0.0
37,0.6,62.4,0.2,0.0157,0.0162,0.018
38,1.5,19.4,0.2,0.026,0.0113,0.018
39,0.3,16.8,0.2,0.01,0.01,0.018
40,1.2,4.0,0.0,0.015,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,1.6,0.0,0.0,0.0,0.0
43,4.2,12.4,0.9,0.0965,0.0445,0.0586
44,1.2,5.6,0.0,0.016,0.0013,0.0
45,0.0,0.8,0.0,0.0,0.0,0.0
46,0.0,29.4,0.0,0.0,0.0,0.0
47,2.4,10.4,0.2,0.0421,0.01,0.018
48,0.0,0.8,0.1,0.0,0.0,0.0066
49,0.6,0.0,0.0,0.013,0.0,0.0
50,1.8,1.8,0.0,0.0321,0.0,0.0
51,0.0,2.6,0.0,0.0,0.0,0.0
52,1.2,6.8,0.0,0.016,0.0013,0.0
53,0.0,0.2,0.0,0.0,0.0,0.0
54,0.9,2.4,0.2,0.013,0.01,0.018
55,0.6,1.4,0.0,0.0188,0.0,0.0
56,0.0,1.2,0.0,0.0,0.0,0.0
57,0.0,2.2,0.0,0.0,0.0,0.0
58,0.0,2.2,0.0,0.0,0.0,0.0
59,0.0,1.2,0.1,0.0,0.0,0.004
60,0.0,6.6,0.0,0.0,0.0028,0.0
61,0.3,15.4,0.0,0.01,0.0,0.0
62,0.0,2.0,0.0,0.0,0.0,0.0
63,0.9,11.0,0.4,0.024,0.01,0.032
64,2.7,152.2,0.2,0.0509,0.1591,0.008
65,0.0,3.2,0.0,0.0,0.0,0.0
66,0.0,2.2,0.0,0.0,0.005,0.0
67,3.9,24.6,0.7,0.0865,0.0345,0.0406
68,0.3,1.2,0.0,0.003,0.001,0.0
69,0.0,1.0,0.0,0.0,0.0,0.0
70,0.3,2.2,0.0,0.0,0.0,0.0
71,0.9,123.8,0.4,0.0115,0.0882,0.007
72,0.0,17.0,0.0,0.0,0.0,0.0
73,0.3,1.6,0.0,0.0075,0.0,0.0
74,0.0,41.0,0.0,0.0,0.0705,0.0
75,0.9,28.6,0.3,0.0184,0.01,0.003
76,0.3,1.8,0.0,0.0053,0.0006,0.0
77,0.0,2.4,0.0,0.0,0.001,0.0
78,0.3,19.8,0.2,0.01,0.01,0.018
79,0.0,7.8,0.0,0.0,0.0,0.0
80,0.0,1.2,0.0,0.0,0.0,0.0
81,5.4,7.8,0.0,0.1178,0.0116,0.0
82,0.0,2.4,0.0,0.0,0.0,0.0
83,0.3,1.2,0.0,0.01,0.0,0.0
84,0.0,14.0,0.0,0.0,0.0005,0.0
85,0.0,1.6,0.0,0.0,0.0,0.0
86,0.6,1.4,0.0,0.015,0.004,0.0
87,0.3,1.4,0.2,0.01,0.01,0.018
88,0.3,1.8,0.0,0.0033,0.0,0.0
89,0.0,4.8,0.0,0.0,0.0,0.0
90,19.2,111.6,0.9,0.2499,0.3768,0.082
91,0.0,3.0,0.1,0.0,0.0,0.009
92,0.0,1.8,0.0,0.0,0.0,0.0
93,0.6,1.6,0.2,0.011,0.0083,0.01
94,0.0,2.6,0.0,0.0,0.0,0.0
95,0.0,7.8,0.1,0.0,0.0,0.0
96,0.3,2.6,0.2,0.01,0.01,0.018
97,3.6,32.6,0.4,0.0925,0.1042,0.013
98,0.0,0.4,0.0,0.0,0.0,0.0
99,0.6,3.0,0.0,0.009,0.0,0.0
100,36.9,295.0,0.6,0.45,0.7477,0.054
101,0.0,1.0,0.0,0.0,0.0,0.0
102,0.3,5.8,0.0,0.0075,0.0,0.0
103,8.4,56.4,0.0,0.1562,0.1005,0.0
104,0.3,0.4,0.0,0.006,0.0,0.0
105,0.0,3.8,0.1,0.0,0.0,0.0
106,0.6,2.8,0.0,0.0067,0.0,0.0
107,0.0,10.2,0.0,0.0,0.0,0.0
108,0.0,2.4,0.0,0.0,0.0045,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0
110,0.6,51.6,0.0,0.0066,0.015,0.0
111,0.6,19.8,0.3,0.0133,0.01,0.018
112,1.2,10.6,0.6,0.014,0.005,0.0519
113,0.0,1.0,0.0,0.0,0.0,0.0
114,0.0,3.4,0.0,0.0,0.0,0.0
115,0.3,11.4,0.2,0.01,0.01,0.018
116,0.6,9.4,0.0,0.018,0.0,0.0
117,1.2,1.6,0.2,0.0284,0.0,0.0065
118,0.6,1.2,0.0,0.0083,0.0,0.0
119,0.0,1.4,0.0,0.0,0.01,0.0
120,1.8,45.2,1.9,0.031,0.016,0.1573
121,0.0,0.4,0.0,0.0,0.0,0.0
122,0.0,0.6,0.0,0.0,0.0,0.0
123,0.0,10.4,0.0,0.0,0.0033,0.0
124,0.3,0.2,0.2,0.01,0.01,0.018
125,0.3,2.2,0.2,0.01,0.0,0.016
126,0.9,23.2,0.0,0.0171,0.0605,0.0
127,0.0,1.4,0.0,0.0,0.0,0.0
128,0.0,1.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.2,0.0,0.0,0.0,0.0
131,1.5,35.8,0.0,0.0197,0.005,0.0
132,2.4,59.6,0.4,0.058,0.01,0.038
133,0.0,14.8,0.0,0.0,0.0042,0.0
134,0.6,70.2,0.1,0.014,0.0685,0.01
135,0.3,5.4,0.2,0.01,0.01,0.018
136,0.0,10.8,0.0,0.0,0.0,0.0
137,0.0,2.6,0.0,0.0,0.0,0.0
138,0.0,0.8,0.0,0.0,0.0,0.0
139,0.3,53.0,0.2,0.01,0.0186,0.018
140,0.0,0.0,0.0,0.0,0.0,0.0
141,3.0,12.8,0.6,0.0661,0.0,0.034
142,0.0,11.4,0.0,0.0,0.0,0.0
143,1.5,50.8,0.9,0.0387,0.04,0.0569
144,0.6,36.0,0.0,0.0155,0.0,0.0
145,0.0,31.8,1.2,0.0,0.001,0.104
146,0.0,24.4,0.1,0.0,0.003,0.008
147,19.5,90.8,0.2,0.2359,0.2948,0.018
148,0.6,1.0,0.0,0.02,0.0,0.0
149,0.3,2.0,0.0,0.005,0.0006,0.0
