pos_score,neu_score,neg_score,pos_sub_score,neu_sub_score,neg_sub_score,value
30,2240,20,1.0,1.0,1.8,-1
0,3920,0,0,0.4,0,0
0,7700,0,0,0.0,0,0
180,3340,60,3.0,0.0,5.199999999999999,1
0,160,0,0,0.0,0,1
0,0,0,0,0,0,0
90,3120,20,1.8,8.05,1.8,0
0,2880,0,0,0.0,0,1
30,5740,0,0,0.0,0,-1
30,800,30,0.5714285714285714,1.0,0.30000000000000004,0
0,0,0,0,0,0,0
0,80,0,0,0.0,0,-1
30,140,0,0.3333333333333333,0.6,0,-1
120,5580,40,2.4,4.462222222222222,3.6,1
0,20,0,0,0.0,0,0
30,1920,0,0.8,0.5083333333333333,0,1
60,14640,10,1.4,13.714285714285698,1.0,0
0,20,0,0,0.0,0,0
0,620,0,0,0.0,0,0
390,1720,70,8.650000000000002,4.25,4.066666666666666,1
120,2600,40,0.5714285714285714,1.05,0.9666666666666666,1
1980,11680,50,25.442857142857136,56.78333333333327,4.5,0
0,500,0,0,0.0,0,0
60,1660,20,1.7,1.0,1.8,-1
0,160,0,0,1.0,0,0
180,3360,20,3.3999999999999995,1.1333333333333333,1.8,0
120,1680,20,2.5,1.0,1.8,1
0,1840,0,0,0.3833333333333333,0,1
60,1960,10,0.9,0.7,0.5416666666666666,-1
1830,5140,30,21.571428571428562,27.25,0.30000000000000004,0
240,10120,40,5.158333333333333,8.957142857142859,3.6,1
180,660,20,2.7285714285714286,0.75,1.6875,-1
0,240,0,0,0.3333333333333333,0,-1
0,6220,0,0,6.857142857142859,0,0
0,20,0,0,0.0,0,1
0,3500,0,0,1.6,0,-1
0,280,0,0,0.0,0,0
30,2020,10,0.7,0.0,0.4,-1
0,5500,0,0,0.0,0,0
0,1580,0,0,0.4,0,1
1800,6100,0,20.99999999999999,26.25,0,1
0,80,0,0,0.0,0,-1
30,4820,0,0,0.06666666666666667,0,0
90,1540,90,3.0,3.0,6.900000000000001,0
0,160,0,0,0.0,0,0
30,100,0,0.5714285714285714,0.0,0,0
0,260,0,0,0.0,0,1
30,840,10,0.4,0.2888888888888889,0,-1
120,2700,0,1.7,0.0,0,-1
120,6880,100,4.0,4.7,7.750000000000002,0
0,5220,10,0,0.0,0,0
0,1120,0,0,0.0,0,0
30,2240,20,1.0,1.0,1.8,-1
30,40,0,1.0,0.35714285714285715,0,1
90,3340,0,1.5,0.0,0,1
30,240,0,0.5714285714285714,0.0,0,-1
0,200,0,0,0.15,0,1
0,20,0,0,0.0,0,1
150,6060,0,2.15,1.4249999999999998,0,1
30,40,0,0.5714285714285714,0.0,0,1
30,4260,20,1.0,1.0,1.8,0
0,540,0,0,0.0,0,0
