,pos_score,neu_score,neg_score
604,0.0,31.6,0.0
605,36.0,122.0,0.0
606,0.0,1.6,0.0
607,0.6,96.4,0.0
608,1.8,30.8,1.8
609,0.0,3.2,0.0
610,0.6,2.0,0.0
611,0.0,5.2,0.0
612,0.6,16.8,0.2
613,2.4,54.0,0.0
614,2.4,137.6,2.0
615,0.0,104.4,0.2
616,0.0,22.4,0.0
617,0.6,44.8,0.4
618,0.6,0.8,0.0
619,1.8,66.8,0.0
620,0.6,4.8,0.0
621,0.0,4.0,0.0
622,0.0,0.4,0.0
623,3.0,121.2,0.0
624,0.6,0.8,0.0
625,0.6,85.2,0.4
626,0.0,10.8,0.0
627,1.2,4.4,0.2
628,0.0,0.8,0.0
629,0.0,85.2,0.0
630,0.6,21.6,0.0
631,1.8,18.8,0.0
632,0.6,2.0,0.0
633,0.6,26.0,0.6
634,0.6,3.6,0.0
635,0.0,4.0,0.0
636,48.0,175.6,0.0
637,0.0,2.8,0.0
638,39.0,108.0,0.0
639,0.0,2.0,0.0
640,0.6,8.8,0.0
641,0.0,2.4,0.0
642,0.0,34.0,0.0
643,0.0,4.0,0.0
644,9.0,8.0,0.0
645,0.0,20.4,0.0
646,0.0,0.8,0.0
647,0.0,22.4,0.0
648,0.0,10.4,0.0
649,0.0,70.0,0.0
650,0.0,13.6,0.0
651,0.0,4.0,0.0
652,0.0,2.4,0.0
653,0.0,30.0,0.0
654,0.6,26.8,0.0
655,0.0,78.0,0.0
656,1.8,37.2,0.0
657,2.4,10.4,0.0
658,0.0,5.2,0.0
659,0.0,0.8,0.0
660,0.0,2.8,0.0
661,0.6,0.0,0.0
662,0.6,123.6,0.0
663,0.0,8.0,0.0
664,0.0,25.6,0.0
665,0.0,15.6,0.0
666,0.6,1.2,0.0
667,0.0,1.2,0.0
668,0.0,36.4,0.2
669,0.0,2.4,0.0
670,2.4,8.4,0.0
671,2.4,125.6,1.0
672,0.0,29.2,0.0
673,0.0,57.2,0.0
674,41.4,218.4,0.4
675,2.4,2.8,0.0
676,0.6,0.0,0.0
677,0.0,5.6,0.0
678,0.0,1.2,0.0
679,1.8,103.6,0.0
680,0.6,6.0,0.4
681,1.2,12.0,0.0
682,0.0,15.6,0.0
683,5.4,126.4,1.8
684,0.0,4.0,0.0
685,0.0,0.0,0.0
686,0.0,0.4,0.0
687,0.0,0.8,0.0
688,1.8,82.4,0.4
689,1.2,2.4,0.0
690,0.6,20.8,0.4
691,1.8,12.4,0.2
692,38.4,170.4,0.4
693,0.0,3.6,0.0
694,0.0,2.0,0.0
695,0.0,1.6,0.0
696,1.2,27.2,0.0
697,3.0,198.4,0.0
698,3.6,94.4,0.8
699,0.0,2.0,0.2
700,0.6,3.2,0.0
701,0.6,1.6,0.0
702,1.2,49.2,0.4
703,0.0,0.8,0.0
704,0.0,106.4,0.0
705,0.6,3.6,0.0
706,0.0,3.2,0.0
707,10.8,14.8,0.6
708,0.0,0.0,0.2
709,36.0,199.6,0.0
710,0.6,9.2,0.0
711,0.6,6.8,0.4
712,1.2,6.0,0.0
713,18.6,20.0,1.4
714,1.2,138.4,1.0
715,3.0,21.6,0.2
716,3.6,37.2,0.0
717,0.0,0.8,0.0
718,0.0,27.6,0.0
719,0.0,4.0,0.0
720,0.6,37.6,0.4
721,0.6,83.6,0.0
722,0.0,10.4,0.0
723,2.4,20.4,0.0
724,0.0,4.8,0.0
725,0.6,4.0,0.4
726,0.6,37.6,0.0
727,5.4,46.0,0.0
728,0.6,4.4,0.2
729,0.0,0.0,0.0
730,0.0,17.2,0.0
731,0.0,1.2,0.0
732,0.0,1.2,0.0
733,0.6,3.6,0.0
734,0.0,3.6,0.0
735,3.6,211.6,0.4
736,2.4,16.0,0.0
737,0.6,0.4,0.0
738,0.0,61.2,0.0
739,1.2,85.6,0.2
740,1.8,17.2,0.6
741,12.6,18.0,0.6
742,1.2,4.4,0.0
743,3.0,4.4,0.4
744,0.0,2.0,0.0
745,0.0,5.6,0.0
746,0.0,13.2,0.0
747,0.6,18.4,0.4
748,0.0,70.0,0.0
749,1.8,52.4,0.4
750,0.0,3.2,0.0
751,3.6,83.2,0.4
752,4.8,121.6,0.2
753,0.0,7.6,0.0
754,0.6,6.8,0.2
755,4.2,11.6,0.4
756,1.2,57.2,0.4
757,3.6,74.4,0.4
758,0.0,1.2,0.0
759,1.8,25.6,0.2
760,0.0,35.6,0.0
761,0.6,11.2,0.4
762,1.2,4.8,0.0
763,0.6,28.4,0.0
764,1.8,6.0,0.0
765,0.0,22.0,0.0
766,0.6,5.2,0.0
767,0.0,2.0,0.0
768,0.0,32.8,0.0
769,0.0,222.0,0.2
770,10.8,22.0,0.0
771,0.0,76.0,0.0
772,0.0,86.0,0.0
773,0.6,97.2,0.4
774,0.6,3.6,0.0
775,0.0,2.8,0.0
776,3.6,25.6,0.0
777,0.0,4.8,0.0
778,0.0,1.6,0.2
779,0.0,32.8,0.0
780,0.6,34.8,0.2
781,0.6,3.6,0.0
782,0.6,106.4,0.0
783,0.0,58.0,0.0
784,1.8,49.2,0.2
785,4.2,69.6,0.2
786,0.0,0.8,0.0
787,18.6,68.4,3.8
788,1.8,97.2,0.2
789,0.6,111.2,0.0
790,0.0,4.4,0.2
791,37.2,141.2,2.8
792,0.0,4.4,0.0
793,0.6,4.4,0.0
794,0.6,6.0,0.4
795,0.0,76.8,0.0
796,3.0,29.6,0.4
797,1.8,40.0,1.8
798,0.6,1.2,0.0
799,0.6,0.8,0.0
800,0.0,2.0,0.0
801,0.0,88.0,0.0
802,1.2,3.2,0.0
803,0.6,6.0,0.2
804,0.6,4.0,0.0
805,0.6,30.4,0.4
806,0.6,2.0,0.0
807,0.0,4.0,0.2
808,1.2,4.4,0.0
809,0.0,5.6,0.0
810,0.0,4.8,0.0
811,0.6,3.6,0.0
812,0.0,35.6,0.0
813,1.2,103.2,1.8
814,0.0,2.0,0.4
815,0.0,134.8,0.0
816,0.6,2.4,0.0
817,0.6,4.8,0.0
818,0.0,3.6,0.0
819,0.0,4.0,0.2
820,2.4,79.2,0.0
821,0.6,4.8,0.0
822,1.8,23.6,0.0
823,0.6,2.4,0.0
824,2.4,51.6,0.8
825,0.6,0.0,0.0
826,0.6,7.2,0.4
827,36.6,120.8,0.0
828,0.0,6.0,0.0
829,36.6,163.2,0.4
830,1.2,62.0,1.2
831,0.0,4.4,0.0
832,0.0,2.0,0.0
833,0.6,1.6,0.0
834,2.4,225.6,1.0
835,4.8,266.0,6.2
836,36.0,106.4,0.0
837,0.6,31.2,0.4
838,0.0,3.2,0.2
839,4.8,9.6,0.6
840,0.0,5.6,0.4
841,0.6,4.0,0.0
842,2.4,51.6,0.0
843,0.6,3.6,0.0
844,0.0,37.2,0.0
845,2.4,9.6,0.0
846,0.0,12.4,0.0
847,0.0,3.2,0.0
848,0.0,2.4,0.0
849,0.0,0.4,0.0
850,0.6,1.6,0.0
851,0.0,83.6,0.4
852,8.4,20.0,1.8
853,0.0,2.4,0.2
854,0.0,1.2,0.0
855,0.0,3.6,0.2
856,3.6,4.4,0.4
857,0.0,83.6,1.2
858,0.0,1.2,0.0
859,0.0,4.8,0.0
860,0.6,1.2,0.0
861,4.8,105.6,0.4
862,1.2,4.4,0.0
863,4.2,8.4,0.4
864,0.0,6.8,0.0
