 ,score
927,2.2
928,35.0
929,23.3
930,2.1
931,4.9
932,2.2
933,10.1
934,1.2
935,1.0
936,2.3
937,0.2
938,0.2
939,5.4
940,122.1
941,6.6
942,3.5
943,36.3
944,2.0
945,1.0
946,126.5
947,5.6
948,16.9
949,2.2
950,39.6
951,2.2
952,5.6
953,12.9
954,20.2
955,1.3
956,1.2
957,0.8
958,1.4
959,2.0
960,2.8
961,87.5
962,1.2
963,0.4
964,13.1
965,4.7
966,0.8
967,1.6
968,7.4
969,10.4
970,1.7
971,82.1
972,1.6
973,3.4
974,11.5
975,0.0
976,23.4
977,12.6
978,10.1
979,15.9
980,3.2
981,38.9
982,0.7
983,0.2
984,2.1
985,1.4
986,126.9
987,46.7
988,1.4
989,4.1
990,0.0
991,15.9
992,1.0
993,23.0
994,0.0
995,0.3
996,2.2
997,30.2
998,0.4
999,31.8
1000,2.1
1001,3.0
1002,2.0
1003,0.8
1004,2.7
1005,0.0
1006,1.8
1007,0.3
1008,0.0
1009,101.0
1010,1.2
1011,0.2
1012,22.9
1013,2.8
1014,86.1
1015,41.5
1016,8.2
1017,12.1
1018,11.3
1019,19.5
1020,25.8
1021,0.2
1022,4.7
1023,0.2
1024,241.1
1025,7.4
1026,0.2
1027,103.8
1028,7.3
1029,0.9
1030,0.2
1031,3.6
1032,5.3
1033,104.5
1034,2.3
1035,0.0
1036,24.7
1037,0.0
1038,6.5
1039,2.3
1040,10.6
1041,0.0
1042,2.3
1043,0.0
1044,37.0
1045,18.7
1046,2.4
1047,65.9
1048,48.7
1049,5.8
1050,0.2
1051,0.3
1052,20.6
1053,17.4
1054,1.2
1055,4.9
1056,3.4
1057,3.1
1058,0.7
1059,1.3
1060,32.7
1061,1.2
1062,3.0
1063,0.2
1064,1.4
1065,0.0
1066,49.8
1067,2.2
1068,10.9
1069,31.0
1070,13.7
1071,1.3
1072,15.2
1073,2.1
1074,12.8
1075,2.5
1076,21.6
1077,48.8
1078,29.2
1079,0.1
1080,1.4
1081,2.3
1082,1.1
1083,0.0
1084,15.5
1085,3.4
1086,34.9
1087,25.1
1088,5.1
1089,2.6
1090,1.5
1091,3.4
1092,1.1
1093,1.2
1094,42.1
1095,2.9
1096,3.2
1097,41.2
1098,5.6
1099,1.2
1100,27.8
1101,9.7
1102,24.4
1103,0.5
1104,1.5
1105,0.3
1106,9.9
1107,28.7
1108,24.7
1109,0.0
1110,6.4
1111,3.0
1112,32.3
1113,2.5
1114,3.5
1115,1.4
1116,62.7
1117,2.2
1118,85.1
1119,172.9
1120,1.2
1121,48.1
1122,0.4
1123,2.2
1124,2.4
1125,95.5
1126,0.6
1127,43.8
1128,3.8
1129,79.8
1130,3.7
1131,122.2
1132,19.2
1133,2.6
1134,1.2
1135,2.3
1136,15.5
1137,0.7
1138,0.2
1139,0.2
1140,3.3
1141,0.0
1142,6.4
1143,3.1
1144,13.8
1145,2.2
1146,40.4
1147,2.3
1148,0.4
1149,137.6
1150,6.2
1151,133.6
1152,0.4
1153,114.5
1154,9.3
1155,1.8
1156,37.2
1157,62.6
1158,2.0
1159,32.0
1160,22.2
1161,4.0
1162,0.6
1163,25.3
1164,9.1
1165,0.5
1166,6.5
1167,202.6
1168,1.9
1169,23.3
1170,112.7
1171,1.0
1172,11.8
1173,15.6
1174,1.4
1175,2.4
1176,0.2
1177,99.0
1178,0.8
1179,3.4
1180,48.1
1181,1.4
1182,70.0
1183,2.0
1184,2.5
1185,19.8
1186,14.7
1187,0.6
1188,0.2
1189,2.9
1190,25.0
1191,61.5
1192,55.0
1193,3.1
1194,2.2
1195,45.6
1196,12.2
1197,1.0
1198,10.9
1199,35.1
1200,13.2
1201,27.4
1202,19.5
1203,1.9
1204,4.2
1205,15.4
1206,25.4
1207,0.7
1208,3.1
1209,12.3
1210,21.8
1211,3.7
1212,11.0
1213,65.0
1214,19.6
1215,0.0
1216,46.8
1217,14.0
1218,47.2
1219,1.2
1220,3.0
1221,0.3
1222,19.4
1223,30.4
1224,10.8
1225,227.7
1226,2.8
1227,61.1
1228,1.2
1229,13.1
1230,46.6
1231,54.8
1232,13.4
1233,32.0
1234,4.2
1235,0.0
1236,6.6
1237,6.8
1238,3.3
1239,68.4
1240,8.6
1241,87.5
1242,2.5
1243,47.0
1244,4.9
1245,28.7
1246,13.7
1247,1.0
1248,1.9
1249,42.8
1250,0.6
1251,1.3
1252,16.7
1253,1.2
1254,5.5
1255,4.2
1256,39.4
1257,19.2
1258,33.7
1259,46.2
1260,109.1
1261,2.6
1262,18.5
1263,0.8
1264,137.7
1265,1.8
1266,2.1
1267,28.3
1268,8.6
1269,43.0
1270,0.3
1271,0.0
1272,10.2
1273,14.4
1274,17.9
1275,2.7
1276,62.7
1277,13.7
1278,6.0
1279,111.5
1280,36.7
1281,12.5
1282,2.8
1283,1.7
1284,21.4
1285,2.2
1286,56.7
1287,16.2
1288,2.1
1289,2.2
1290,0.7
1291,0.6
1292,1.6
1293,1.5
1294,9.1
1295,152.5
1296,10.7
1297,83.0
1298,0.2
1299,27.8
1300,34.5
1301,15.9
1302,1.7
1303,51.4
1304,0.0
1305,2.7
1306,46.9
1307,25.8
1308,1.6
1309,2.0
1310,28.9
1311,51.8
1312,35.0
1313,2.0
1314,52.0
1315,1.7
1316,82.6
1317,0.4
1318,63.4
1319,9.2
1320,16.0
1321,0.4
1322,3.6
1323,40.7
1324,0.8
1325,5.9
1326,0.0
1327,130.1
1328,2.5
1329,3.7
1330,30.7
1331,64.0
1332,10.5
1333,52.2
1334,56.5
1335,1.1
1336,4.6
1337,1.0
1338,6.1
1339,0.0
1340,51.1
1341,1.0
1342,24.8
1343,1.3
1344,5.2
1345,1.9
1346,12.0
1347,64.6
1348,97.5
1349,18.5
1350,15.1
1351,10.9
1352,0.0
1353,7.7
1354,31.0
1355,22.3
1356,6.4
1357,91.4
1358,4.0
1359,0.0
1360,7.9
1361,1.8
1362,2.3
1363,3.8
1364,79.1
1365,12.4
1366,13.1
1367,2.6
1368,0.9
1369,20.8
1370,1.4
1371,3.6
1372,188.8
1373,3.4
1374,3.6
1375,68.5
1376,1.8
1377,37.0
1378,0.8
1379,27.2
1380,1.7
1381,2.1
1382,11.8
1383,0.6
1384,15.8
1385,108.5
1386,23.1
1387,0.6
1388,4.7
1389,0.3
1390,71.1
1391,2.9
1392,15.3
1393,1.1
1394,2.4
1395,1.1
1396,70.6
1397,0.0
1398,2.4
1399,59.4
1400,3.6
1401,80.5
1402,0.4
1403,6.9
1404,67.9
1405,64.5
1406,2.3
1407,38.3
1408,9.6
1409,132.7
1410,2.5
1411,1.9
1412,76.5
1413,178.5
1414,2.3
1415,31.9
1416,6.2
1417,52.4
1418,76.0
1419,2.6
1420,1.1
1421,60.2
1422,48.2
1423,0.8
1424,29.8
1425,35.3
1426,130.5
1427,2.0
1428,5.9
1429,39.0
1430,3.5
1431,1.8
1432,1.2
1433,79.1
1434,0.8
1435,0.0
1436,2.0
1437,1.7
1438,0.9
1439,1.1
1440,54.9
